OrgDefinedId,Lab Reports Points Grade <Numeric MaxPoints:100 Weight:18>,End-of-Line Indicator
#A00746035,,#
#A00913638,,#
#A00940835,,#
#A00948844,,#
#A01006494,,#
#A01030381,,#
#A01058341,,#
#A01073920,,#
#A01159131,,#
#A01178066,,#
#A01191808,,#
#A01217376,,#
#A01226824,,#
#A01248193,,#
#A01248771,,#
#A01255181,,#
#A01256902,,#
#A01258024,,#
#A01259742,,#
#A01268383,,#
#A01268816,,#
#A01272941,,#
#A01276339,,#
#A01280488,,#
#A01281182,,#
#A01281200,,#
#A01282057,,#
#A01295865,,#
#A01298718,,#
