sno,short,rank,essay
67323378,13,5,8
89825228,10,5,6.75
65583254,9.5,5,6.5
61025128,14,5,7.5
11283991,8.5,5,6.5
21466677,9,5,8
87900684,12.5,5,8
81644734,11,5,7.75
99365512,13,5,8.25
19902840,8,5,7.5
48161814,12,5,7.75
91394544,5,5,6
29132420,10,5,7
20417069,6,5,7.5
72299282,12,5,8.5
86185675,13,5,8.5
52007218,10,5,7
89437172,10.5,5,8
94966603,5,0,7
37776929,10,5,7.5
54512314,9,5,6.5
67300301,11,5,6.75
55365647,9,5,7.5
32053191,12.5,5,8.75
12274882,14,5,8.5
21427943,12,5,7.5
64319171,13.5,5,7.5
20439238,11.5,5,7
80791841,13,5,7.5
51858827,13,5,7.75
32706731,10,5,4.5
28435857,9.5,5,7.25
47197264,4,2.5,0
50350834,14,5,8
47502901,7.5,5,6
17514274,13.5,5,9.25
18158485,13,5,8.5
54145669,10.5,5,9
91254581,13,5,8
15119134,9.5,5,7
33781295,11.5,5,8.5
17042003,10,5,6.5
55608319,12,5,7.25
14724223,7.5,5,5.5
35879667,13.5,5,8
79791372,14,5,8
85210644,14,5,9.25
46232484,14,5,9.5
69375426,9,5,6.5
44018430,8,5,7.5
40310211,12.5,5,8
90443912,10,5,7
27189356,3,0,6.5
54709357,11.5,5,8
52496338,12,5,7.25
