OrgDefinedId,Term Test B Points Grade <Numeric MaxPoints:100 Weight:17>,End-of-Line Indicator
#A00224368,8.57,#
#A01053381,85.71,#
#A01176147,48.57,#
#A01176414,35.71,#
#A01191547,57.14,#
#A01244388,77.14,#
#A01259731,67.14,#
#A01265218,47.14,#
#A01279437,50.0,#
#A01296540,48.57,#
#A01302708,99.29,#
#A01316526,58.57,#
#A01318167,100.0,#
#A01332682,91.43,#
#A01332816,97.14,#
#A01340367,100.0,#
#A01341425,71.43,#
#A01341917,70.0,#
#A01342214,95.71,#
#A01343933,85.71,#
#A01349182,91.43,#
#A01350129,91.43,#
