MATH-4620_202310_totals01.csv,MATH-4620_202310_totals02.csv,MATH-4620_202310_totals03.csv,MATH-4620_202310_totals04.csv,MATH-4620_202310_totals05.csv,MATH-4620_202310_totals06.csv,MATH-4620_202310_totals07.csv,MATH-4620_202310_totals08.csv,MATH-4620_202310_totals09.csv,MATH-4620_202310_totals10.csv,MATH-4620_202310_totals11.csv,MATH-4620_202310_totals12.csv
86.67,94.74,100.0,100.0,92.11,100.0,98.33,100.0,94.74,100.0,100.0,97.92
83.33,61.42,70.59,47.37,36.84,69.42,100.0,100.0,52.0,68.18,93.91,29.17
96.67,97.68,100.0,100.0,94.74,91.67,93.33,0.0,0.0,0.0,0.0,0.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.45,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
95.0,97.37,100.0,93.42,94.74,91.67,96.67,100.0,88.84,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,98.68,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
97.77,100.0,98.29,100.0,100.0,100.0,100.0,100.0,98.68,95.45,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.42,95.45,100.0,100.0
100.0,100.0,100.0,100.0,94.11,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,92.11,91.67,100.0,100.0,100.0,100.0,100.0,100.0
96.67,100.0,94.12,100.0,86.84,100.0,96.67,100.0,78.32,100.0,100.0,100.0
100.0,100.0,100.0,100.0,94.74,100.0,100.0,88.89,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,90.79,91.67,100.0,100.0,95.42,100.0,100.0,97.25
83.33,63.16,82.35,31.58,77.21,100.0,99.2,100.0,94.74,90.91,84.27,100.0
100.0,100.0,100.0,100.0,94.74,100.0,100.0,100.0,94.74,100.0,100.0,100.0
90.0,94.74,76.47,68.42,60.53,66.67,44.2,98.78,0.0,18.18,75.73,16.67
100.0,94.74,100.0,97.37,63.16,83.33,86.27,77.78,8.58,100.0,98.18,74.33
97.77,94.74,100.0,94.74,92.11,100.0,100.0,100.0,94.74,100.0,100.0,100.0
43.33,26.32,5.88,68.42,66.68,100.0,86.67,100.0,0.0,95.45,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,97.68,100.0,100.0,89.47,100.0,100.0,100.0,90.79,100.0,100.0,83.33
93.33,100.0,76.47,100.0,94.74,58.33,93.33,88.89,62.53,100.0,90.91,100.0
100.0,100.0,100.0,92.11,100.0,100.0,100.0,100.0,99.37,100.0,100.0,100.0
98.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.37,100.0,100.0,100.0
100.0,100.0,100.0,100.0,94.74,87.5,100.0,100.0,95.42,100.0,100.0,100.0
93.33,84.21,94.12,84.21,73.68,100.0,100.0,100.0,95.42,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,98.68,100.0,100.0,100.0,100.0,100.0,27.27,100.0
