ast,sdc,mark
qycf,173436,97.0
qycf,231823,67.7
qycf,276436,56.2
qycf,333934,99.6
qycf,342173,100.0
qycf,346340,96.5
qycf,396939,100.0
qycf,411838,99.9
qycf,452239,99.2
qycf,452314,99.1
qycf,490422,99.5
qycf,501429,98.6
qycf,528152,96.1
qycf,535003,98.6
qycf,569912,97.9
qycf,573124,83.9
qycf,586136,99.1
qycf,634754,59.2
qycf,675465,82.0
qycf,705414,97.8
qycf,723791,66.1
qycf,760175,100.0
qycf,808123,96.8
qycf,836795,88.2
qycf,848783,99.3
qycf,865118,99.9
qycf,892714,98.1
qycf,919363,93.7
qycf,969913,100.0
qycf,983878,93.8
